epoch	loss	acc	val_loss	val_acc
0	3.044829	0.072269	2.855814	0.123529
1	2.711845	0.137815	2.856150	0.088235
2	2.565885	0.194958	2.945956	0.064706
3	2.474624	0.233613	2.957338	0.076471
4	2.379966	0.287395	2.882943	0.117647
5	2.260745	0.323529	2.954021	0.111765
6	2.199283	0.360504	3.035056	0.094118
7	2.108653	0.377311	3.087363	0.064706
8	2.033178	0.414286	3.130024	0.070588
9	1.972652	0.421008	3.128580	0.076471
10	1.876920	0.470588	3.205986	0.064706
11	1.865284	0.446218	3.182217	0.076471
12	1.802753	0.468908	3.279990	0.064706
13	1.722462	0.506723	3.318924	0.058824
14	1.680053	0.526891	3.221810	0.094118
15	1.669739	0.529412	3.353474	0.064706
16	1.584907	0.575630	3.303911	0.082353
17	1.565556	0.564706	3.447555	0.064706
18	1.520130	0.576471	3.415376	0.070588
19	1.491918	0.606723	3.487493	0.070588
20	1.435216	0.610924	3.451190	0.076471
21	1.423245	0.609244	3.532781	0.058824
22	1.387173	0.637815	3.534708	0.064706
23	1.369053	0.624370	3.652019	0.064706
24	1.343973	0.621849	3.593523	0.076471
25	1.300657	0.662185	3.593888	0.076471
26	1.272983	0.657143	3.707308	0.064706
27	1.271239	0.650420	3.724666	0.064706
28	1.244786	0.665546	3.795464	0.070588
29	1.201495	0.674790	3.799929	0.070588
30	1.201691	0.680672	3.804096	0.070588
31	1.165371	0.698319	3.856404	0.076471
32	1.153947	0.692437	3.845506	0.076471
33	1.126593	0.693277	3.943910	0.064706
34	1.107894	0.709244	3.956662	0.076471
35	1.115247	0.715126	4.006860	0.058824
36	1.069693	0.721008	4.042591	0.076471
37	1.044113	0.723529	3.995673	0.064706
38	1.018990	0.731933	4.043735	0.070588
39	1.034069	0.735294	4.092476	0.070588
40	1.012582	0.752101	4.147570	0.064706
41	0.980764	0.756303	4.128127	0.070588
42	0.993865	0.740336	4.152382	0.076471
43	0.952390	0.763025	4.175626	0.082353
44	0.919171	0.773950	4.273086	0.064706
45	0.938416	0.763866	4.267600	0.076471
46	0.868600	0.802521	4.290865	0.070588
47	0.902943	0.759664	4.266672	0.070588
48	0.893233	0.763025	4.388103	0.070588
49	0.894563	0.774790	4.382748	0.070588
